fng_low,fng_high,rainbow_low,rainbow_high,alloc_fear_low,alloc_fear_high,alloc_greed_low,alloc_greed_high,equity,ratio,cagr,max_dd,sharpe,trades
15,70,0.35,0.8,90,50,70,30,3.2217882645952556,0.5244960457211681,0.1592348259524916,-0.6498031836809586,0.6039268871684275,1944
15,70,0.35,0.75,90,50,70,30,3.0286244151662514,0.4930496355659311,0.1502179234698433,-0.6410329915538829,0.593134570042649,1940
15,70,0.35,0.8,90,60,70,30,3.0217691712700625,0.4919336254433798,0.14988878209991907,-0.6565514755259939,0.5954087601267184,1944
20,70,0.35,0.8,90,50,70,30,3.0016453261563436,0.4886575326899112,0.14891879167496258,-0.6573385680100126,0.5947534379631654,1943
15,70,0.35,0.8,90,50,60,30,2.977189471760095,0.4846762037284388,0.1477323163332398,-0.6257262353036982,0.5639294311209053,1944
15,70,0.3,0.8,90,50,70,30,2.939349583562846,0.4785160001085769,0.14587962572976476,-0.6508109219008759,0.5871220083997314,2045
15,75,0.35,0.8,90,50,70,30,2.9292205561504914,0.4768670292922254,0.14538016053946423,-0.654573122671895,0.5922986064323307,2103
15,70,0.35,0.75,90,50,60,30,2.8592699058504545,0.4654793040710577,0.1418890825520689,-0.6179792765444054,0.5559441809111533,1940
15,70,0.35,0.7,90,50,70,30,2.8320997716112477,0.4610560996889511,0.14051293374156426,-0.6322500816114829,0.5813433979018257,1936
15,70,0.35,0.8,90,70,70,30,2.830130630278976,0.46073553025439445,0.14041275039721546,-0.6635045559157817,0.5868071571812075,1944
20,70,0.35,0.75,90,50,70,30,2.8225588092067797,0.4595028638327933,0.140026953182548,-0.648745110855002,0.5839548439143118,1939
15,70,0.35,0.75,90,60,70,30,2.8215288312261193,0.45933518696092285,0.13997440419856932,-0.6486020997614883,0.5836376956460334,1940
20,70,0.35,0.8,90,60,70,30,2.7950576505677764,0.4550257698172063,0.13861807313945462,-0.6647367429853759,0.5853622105568437,1943
15,70,0.35,0.8,90,60,60,30,2.793494402360867,0.45477127838708514,0.13853762492716482,-0.6329347632030392,0.5541577918287655,1944
15,70,0.3,0.8,90,50,60,30,2.7923405958284135,0.45458344265298384,0.13847822225637985,-0.6268899582030506,0.5509539598539728,2045
15,70,0.35,0.8,95,50,70,30,2.7859101196401492,0.4535365832519758,0.13814676173195917,-0.6658087735915911,0.585311138136323,1944
15,75,0.35,0.8,90,60,70,30,2.7700398711601233,0.4509529613970394,0.13732585617349358,-0.6616864955119719,0.5853775822778507,2103
25,70,0.35,0.8,90,50,70,30,2.7600227598534386,0.44932221013767165,0.13680559250044033,-0.6654561983774161,0.5840319897242781,1943
15,75,0.35,0.75,90,50,70,30,2.756024102371102,0.448671242455926,0.13659745142630908,-0.6473605013296664,0.581578001784203,2099
15,70,0.3,0.75,90,50,70,30,2.7501474510810002,0.44771454384304316,0.13629107629995518,-0.6431764764906918,0.5752885117761078,2041
20,70,0.3,0.8,90,50,70,30,2.739402215661417,0.445965256483024,0.13572939880304125,-0.6583151148414594,0.577879464438524,2044
15,70,0.35,0.7,90,50,60,30,2.7356721121907137,0.4453580084704795,0.13553396780782245,-0.610487461093904,0.547171215388664,1936
15,70,0.3,0.8,90,60,70,30,2.728356591113381,0.4441670668063063,0.1351500093255522,-0.6572337534596658,0.5770701040319157,2045
20,75,0.35,0.8,90,50,70,30,2.7217583557527907,0.443092896789177,0.13480292562110097,-0.6618066947821399,0.5829885727961487,2102
15,70,0.35,0.65,90,50,70,30,2.7124499824320925,0.44157752563569247,0.1343120296744995,-0.6310239519482531,0.5729862246357205,1930
20,70,0.35,0.8,90,50,60,30,2.7005297407630415,0.43963695130057445,0.13368123773717233,-0.6366998427256461,0.5493311047380206,1943
15,75,0.3,0.8,90,50,70,30,2.675703356569689,0.4355953013628484,0.13235963423734898,-0.6555589999940946,0.5755327339453231,2171
15,70,0.3,0.75,90,50,60,30,2.6723727039450913,0.4350530825738394,0.1321815165455944,-0.6201753529089884,0.5421517702775015,2041
15,70,0.35,0.65,90,50,60,30,2.6700095861867665,0.43466837513249845,0.13205502332618346,-0.6094575564805178,0.5416840052165388,1930
15,70,0.35,0.75,90,60,60,30,2.6646262482134198,0.43379198623046245,0.13176649781485428,-0.6260464088781654,0.545037840653094,1940
15,80,0.35,0.8,90,50,70,30,2.6592215205219207,0.4329121151558973,0.13147631311720542,-0.6622993735660105,0.5809514309970576,2301
15,70,0.35,0.8,90,80,70,30,2.6471137716097655,0.43094101528667356,0.1308243623416534,-0.6704810897828601,0.5781426208198901,1944
20,70,0.35,0.7,90,50,70,30,2.640344325873777,0.42983897280943584,0.13045872010116533,-0.640154225967545,0.5721613039995985,1935
15,70,0.35,0.75,95,50,70,30,2.629699432804129,0.42810602083878346,0.12988209092729486,-0.6571002817827625,0.574988659767413,1940
15,70,0.35,0.75,90,70,70,30,2.6244568857115187,0.42725255220777564,0.12959735458013033,-0.6563681243280381,0.5740576774599949,1940
15,70,0.35,0.7,90,60,70,30,2.6203797174391736,0.4265888032395133,0.12937556925518812,-0.6404777203882763,0.5708392448645891,1936
15,70,0.35,0.8,90,70,60,30,2.6177757901246004,0.42616489283086,0.1292337658546654,-0.6403620321564334,0.5443294034209124,1944
15,75,0.35,0.8,90,70,70,30,2.6148492201832108,0.4256884573125321,0.1290742449748168,-0.6705057073273433,0.5783484844304718,2103
15,70,0.35,0.8,95,60,70,30,2.612122251428877,0.425244516180779,0.12892546346072575,-0.6722520636855904,0.5768893910086995,1944
20,70,0.35,0.75,90,60,70,30,2.6087637680427607,0.4246977666395395,0.12874204034984071,-0.6570337346980739,0.573488109482011,1939
20,70,0.35,0.8,90,70,70,30,2.598317658897556,0.4229971760079202,0.12817020571233084,-0.6722592728960978,0.5758812348398629,1943
20,70,0.35,0.75,90,50,60,30,2.596422039176314,0.42268857563870654,0.1280662215793189,-0.6290986304116332,0.5414387154053032,1939
25,70,0.35,0.75,90,50,70,30,2.5963876793925547,0.42268298198411675,0.1280643361629965,-0.6570525542856815,0.5732308433706097,1939
15,70,0.25,0.8,90,50,70,30,2.5934694240003577,0.4222079000457932,0.12790412381444338,-0.6373046933435933,0.5626854080482233,2235
15,70,0.3,0.8,90,60,60,30,2.593300906202226,0.4221804659280006,0.1278948673704443,-0.633745665515382,0.5394502835908151,2045
15,75,0.35,0.75,90,60,70,30,2.5906237630436855,0.42174463623183023,0.12774774515243403,-0.657810478497629,0.573827180729472,2099
15,70,0.35,0.8,95,50,60,30,2.583300935742995,0.42055250513962955,0.12734464001435475,-0.6421737916739747,0.5428474132199037,1944
15,75,0.35,0.7,90,50,70,30,2.579471367385649,0.4199290645857236,0.12713343317848436,-0.6432196390558185,0.5698585367388275,2098
15,75,0.35,0.8,90,50,60,30,2.573411806681201,0.4189425889494392,0.12679867831609792,-0.6326353928597868,0.5427197987872753,2103
20,70,0.3,0.75,90,50,70,30,2.563909358917594,0.4173956231443136,0.12627233493830792,-0.650834159756255,0.5660366655857093,2040
20,75,0.35,0.75,90,50,70,30,2.561783252950778,0.4170495004072506,0.12615433601196502,-0.6532940311886386,0.5722691098029115,2098
15,70,0.25,0.8,90,50,60,30,2.5586859885997435,0.4165452764262638,0.12598228456933946,-0.6148955838259627,0.5319609444599046,2235
20,75,0.35,0.8,90,60,70,30,2.558657595864471,0.4165406541866395,0.12598070652599858,-0.6695385382850569,0.5754272767312856,2102
15,70,0.3,0.7,90,50,70,30,2.5581569623976823,0.4164591527805503,0.12595287924318788,-0.6358386591213752,0.5623083861483176,2037
15,70,0.3,0.8,95,50,70,30,2.5569921680115417,0.4162695282616697,0.12588811672616895,-0.6668951751105507,0.5690967126097941,2045
20,70,0.35,0.8,95,50,70,30,2.555865205167381,0.41608606258767356,0.12582543310322847,-0.6746968938323544,0.5743816311807364,1943
15,80,0.35,0.8,90,60,70,30,2.5491848954105345,0.4149985311411901,0.1254533661146895,-0.6719595666283114,0.5764139506961868,2301
25,70,0.35,0.8,90,60,70,30,2.547454816698497,0.41471688027877257,0.12535686866227347,-0.6735435376128996,0.5735945377565761,1943
15,70,0.3,0.7,90,50,60,30,2.5468551797552723,0.4146192614473162,0.12532340974818434,-0.6139477164119347,0.5324493682507004,2037
20,70,0.3,0.8,90,50,60,30,2.536568010888561,0.41294454574624145,0.12474832536739511,-0.6378492143864984,0.5364190825115142,2044
15,70,0.3,0.75,90,60,70,30,2.5349702148133484,0.4126844300420137,0.12465882089163771,-0.6502830072181003,0.5641986459177187,2041
15,70,0.35,0.7,90,60,60,30,2.5317939472336035,0.4121673446071837,0.124480747973569,-0.6192031336675001,0.5350973466462609,1936
20,70,0.35,0.65,90,50,70,30,2.529815426767224,0.4118452482818608,0.12436972635743593,-0.6389543569306242,0.5637948540145622,1929
15,70,0.3,0.8,90,70,70,30,2.528614809058966,0.4116497918493807,0.12430231856096996,-0.6638757975824721,0.5669473853725477,2045
20,70,0.3,0.8,90,60,70,30,2.52168690236181,0.4105219524728101,0.12391280923404557,-0.665365365156567,0.5668053656361819,2044
25,70,0.3,0.8,90,50,70,30,2.519826261309454,0.41021904651055574,0.12380803871193624,-0.6664007041698607,0.5670763678927448,2044
20,70,0.35,0.8,90,60,60,30,2.5158509225005714,0.4095718750286263,0.12358396536106464,-0.6445363360226126,0.5386229473612647,1943
15,70,0.35,0.8,90,50,50,30,2.51505383198876,0.4094421114354935,0.12353899944892177,-0.6010694182161374,0.5100285801903661,1944
15,75,0.3,0.75,90,50,70,30,2.5058413915411015,0.40794235782370686,0.12301839658275471,-0.6480009028372995,0.5637765120880307,2167
15,80,0.35,0.75,90,50,70,30,2.503927269855826,0.4076307453983999,0.12291001816059843,-0.6579799103680031,0.5702924907440194,2297
15,75,0.3,0.8,90,60,70,30,2.50303887879498,0.4074861183899809,0.12285969246678352,-0.6623516526655879,0.5670987013324945,2171
30,70,0.35,0.8,90,50,70,30,2.502646377259573,0.40742222049031973,0.12283745301739457,-0.6753396996962944,0.5718139471532857,1943
25,75,0.35,0.8,90,50,70,30,2.4978124780926305,0.40663527833575996,0.12256331027713285,-0.669515283056811,0.5722721331925085,2102
15,70,0.35,0.75,95,50,60,30,2.4910070304035288,0.4055273748644111,0.12217656927585674,-0.6344050176002554,0.5353811022025393,1940
15,70,0.35,0.65,90,60,70,30,2.487782218989757,0.4050023866604044,0.1219929867558116,-0.639329636034326,0.5611633762047056,1930
20,75,0.3,0.8,90,50,70,30,2.4871464974901336,0.4048988933873061,0.12195677178080166,-0.662763784696704,0.5661601601683184,2170
20,70,0.35,0.7,90,50,60,30,2.4871318784616783,0.4048965134597667,0.1219559388874305,-0.6217714464049382,0.5327695759634419,1935
15,70,0.35,0.75,90,70,60,30,2.4795579879042036,0.40366351013308177,0.12152385358082518,-0.634308805279554,0.5340701069383456,1940
15,75,0.35,0.65,90,50,70,30,2.472685330520433,0.402544665154659,0.12113077406538575,-0.6385908313467905,0.5615431695157227,2093
15,75,0.35,0.75,90,50,60,30,2.472093494282376,0.4024483162511675,0.12109687955140669,-0.624893035840921,0.5346406599587997,2099
15,70,0.35,0.75,90,50,50,30,2.4698038276958973,0.4020755664079127,0.12096568333576752,-0.5945368169775844,0.5056697392749047,1940
15,70,0.35,0.7,95,50,70,30,2.4696310323463546,0.40204743591946623,0.1209557779771413,-0.6484775430491154,0.5636902008924196,1936
15,70,0.3,0.65,90,50,60,30,2.465996222487004,0.4014557013790162,0.12074727487260195,-0.6135687189804979,0.5253360902267838,2031
20,80,0.35,0.8,90,50,70,30,2.4651279190516604,0.40131434456692255,0.1206974267693035,-0.668211332009357,0.5715822253373217,2300
15,70,0.3,0.75,90,60,60,30,2.4643159579271146,0.4011821600891952,0.12065079931863498,-0.6277437834581803,0.5294403523273815,2041
15,75,0.35,0.8,90,80,70,30,2.4640341834136077,0.40113628816777086,0.12063461507750528,-0.6796099346698883,0.5712240437909746,2103
15,75,0.35,0.8,95,50,70,30,2.4595080402803258,0.4003994476367335,0.12037442581639546,-0.6714254175102766,0.57023790787543,2103
15,70,0.35,0.8,90,80,60,30,2.45012103635678,0.3988712756916143,0.11983346951632212,-0.6478101874751714,0.5344641297458281,1944
15,70,0.35,0.75,95,60,70,30,2.449259570703399,0.39873103204690047,0.11978373411702714,-0.6643303610037743,0.5656038929944448,1940
15,70,0.35,0.65,90,60,60,30,2.449016024237277,0.3986913835200764,0.11976967056380627,-0.618250158674057,0.528070033371665,1930
15,70,0.35,0.8,95,70,70,30,2.4457853189374976,0.39816543581170405,0.1195829982751786,-0.6788887175617994,0.5683942820480876,1944
15,80,0.35,0.8,90,70,70,30,2.4383519647067367,0.39695531131552814,0.11915267470157809,-0.6814436392185146,0.5717245397689494,2301
15,70,0.35,0.75,90,80,70,30,2.437383982822995,0.39679772719495404,0.11909655303978517,-0.6641316802889402,0.5644079938888403,1940
15,70,0.3,0.8,95,50,60,30,2.4371228779480862,0.39675522021958476,0.11908141136437345,-0.6434256377324243,0.5305491027727826,2045
15,70,0.25,0.75,90,50,60,30,2.435866637436496,0.39655070858607844,0.11900854117698967,-0.6074626468318929,0.5217798649229052,2231
15,75,0.35,0.8,90,60,60,30,2.4349982485582076,0.3964093378641674,0.11895814973171448,-0.6401955610884111,0.5348574044318166,2103
15,70,0.3,0.8,90,50,50,30,2.4337351240943326,0.3962037055469116,0.11888482427183478,-0.6023930081505608,0.502233165906261,2045
15,80,0.3,0.8,90,50,70,30,2.431593041814935,0.39585498192112284,0.11876039851541731,-0.6595696408502429,0.5642068653376882,2347
20,70,0.35,0.65,90,50,60,30,2.4307559467805127,0.3957187057293345,0.11871174868811885,-0.6207659113887045,0.5273973190775504,1929
20,70,0.3,0.75,90,50,60,30,2.430323205810088,0.3956482569880862,0.11868659314741659,-0.6312625330291559,0.5277085448420832,2040
