fng_thresh,rainbow_thresh,fng_low,fng_high,rainbow_low,rainbow_high,ratio,equity,trades,fees,sharpe
60,0.6,100,95,100,95,1.2519507919570048,7.690277938762799,2234,2.2088822230319303,0.8247939031858603
60,0.6,100,95,98,95,1.2489699738287277,7.671967858176068,2675,1.974607034620966,0.8238451120317428
60,0.6,98,95,100,95,1.2489699738287277,7.671967858176068,2675,1.974607034620966,0.8238451120317428
60,0.6,98,95,98,95,1.2489699738287277,7.671967858176068,2675,1.974607034620966,0.8238451120317428
60,0.7,100,95,100,95,1.2467729767420843,7.658472504895826,2092,2.2130293453419596,0.8253268427602154
60,0.7,100,95,98,95,1.246058279802392,7.6540823817827395,2672,1.9776387848654984,0.8241739664991733
60,0.7,98,95,100,95,1.246058279802392,7.6540823817827395,2672,1.9776387848654984,0.8241739664991733
60,0.7,98,95,98,95,1.246058279802392,7.6540823817827395,2672,1.9776387848654984,0.8241739664991733
60,0.5,98,95,98,95,1.2432375152020345,7.63675545175008,2678,1.9284428820652044,0.8230320669612241
60,0.5,100,95,98,95,1.2432375152020345,7.63675545175008,2678,1.9284428820652044,0.8230320669612241
60,0.5,98,95,100,95,1.2432375152020345,7.63675545175008,2678,1.9284428820652044,0.8230320669612241
60,0.5,100,95,100,95,1.2425981052923971,7.632827789454165,2405,2.1329782485098567,0.823451818610016
40,0.5,100,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,98,95,100,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.5,98,95,100,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.5,98,95,100,97,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.5,98,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,98,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,98,95,100,97,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,100,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,98,95,100,97,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,98,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,98,95,100,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,100,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,100,95,100,95,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.5,100,95,100,97,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.6,100,95,100,95,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.7,100,95,100,97,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.5,100,95,100,95,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.6,100,95,100,97,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
50,0.5,98,95,100,95,1.2402312886489948,7.618289296460042,2681,1.7510535849114113,0.8221959742213978
50,0.5,98,95,98,95,1.2402312886489948,7.618289296460042,2681,1.7510535849114113,0.8221959742213978
50,0.5,100,95,98,95,1.2402312886489948,7.618289296460042,2681,1.7510535849114113,0.8221959742213978
50,0.5,100,95,100,95,1.2380745063654757,7.605040968075079,2669,1.8329330638082646,0.822088762182608
60,0.6,100,95,100,97,1.2362537742099868,7.5938568732866045,2227,2.2625873800691627,0.8243512178549489
50,0.6,100,95,98,95,1.2362315420360597,7.593720309135856,2681,1.8275916538799188,0.8218774488059174
50,0.6,98,95,98,95,1.2362315420360597,7.593720309135856,2681,1.8275916538799188,0.8218774488059174
50,0.6,98,95,100,95,1.2362315420360597,7.593720309135856,2681,1.8275916538799188,0.8218774488059174
50,0.7,98,95,98,95,1.2351854667094158,7.587294649230966,2681,1.844404950021439,0.8218007305993543
50,0.7,98,95,100,95,1.2351854667094158,7.587294649230966,2681,1.844404950021439,0.8218007305993543
50,0.7,100,95,98,95,1.2351854667094158,7.587294649230966,2681,1.844404950021439,0.8218007305993543
60,0.6,98,95,100,97,1.23321249219347,7.5751753850464665,2669,2.031007113323763,0.8233919357828224
60,0.7,100,95,100,97,1.2328714247620245,7.573080331981661,2087,2.265446874808892,0.8246530147647863
60,0.7,98,95,100,97,1.2321647168149463,7.568739282341788,2667,2.032640759738747,0.823496852417208
50,0.6,100,95,100,95,1.2314060486763783,7.5640790601618475,2662,1.9635770795840088,0.8215565606284793
60,0.5,98,95,100,97,1.2313672368648467,7.563840653333159,2670,2.0152774921391456,0.8231235414361089
60,0.5,100,95,100,97,1.2308338796635934,7.560564434216058,2396,2.2179025609064627,0.8235534661239815
50,0.5,98,95,100,97,1.230346464324127,7.557570419230651,2680,1.8039059497156607,0.821494186176889
50,0.7,100,95,100,95,1.229663076852377,7.553372618780834,2655,1.991259740200985,0.8214283751462547
50,0.6,98,95,100,97,1.229015212995196,7.549393026962841,2680,1.8312962612571977,0.8213875051275638
50,0.7,98,95,100,97,1.2286672656227333,7.547255712925029,2680,1.836825903846961,0.8213618844909935
50,0.5,100,95,100,97,1.2282068719100865,7.544427681955874,2668,1.884954287061068,0.8213872009682707
50,0.6,100,95,100,97,1.224217887779328,7.519924804641586,2661,1.966464085414999,0.8210668767898079
50,0.7,100,95,100,97,1.2231739985755943,7.51351257329387,2654,1.9829173402053757,0.8209897922683602
60,0.6,100,97,100,95,1.2037096112964973,7.393949928303654,2210,1.463757151316751,0.8266532130334009
60,0.5,100,97,98,95,1.2029072562190666,7.389021353162633,2655,1.3459520069578763,0.8253850628291982
40,0.5,100,97,98,95,1.202785877399975,7.388275767265255,2662,1.2608138360482888,0.8251588694854192
60,0.5,100,97,100,95,1.202384042252002,7.385807440240481,2381,1.5444713082677755,0.825819109923282
50,0.5,100,97,98,95,1.201994929519429,7.383417262381877,2658,1.2945093003603099,0.8251085774593393
40,0.5,100,97,100,95,1.2019713397470595,7.383272358998134,2654,1.2606679311930902,0.8251284659784708
60,0.6,100,97,98,95,1.2007474303092829,7.375754328889568,2652,1.2394226113516482,0.8256908925026688
50,0.5,100,97,100,95,1.1999085326098062,7.370601285724764,2646,1.3753153531537174,0.825005396165822
40,0.6,100,97,98,95,1.1988240256698688,7.363939554410549,2659,1.142470240698666,0.825196620664753
40,0.6,100,97,100,95,1.1980121710193652,7.358952626850489,2651,1.1424037098045634,0.8251663304855319
50,0.6,100,97,98,95,1.1967485219302925,7.3511904905313425,2655,1.1995462789088838,0.8250424251101479
60,0.7,100,97,100,95,1.1956884998677828,7.344679160905377,2063,1.426841014925562,0.8271073856981456
60,0.7,100,97,98,95,1.1949524522467068,7.340157888329326,2648,1.2002587078696623,0.8259366312085704
40,0.7,100,97,98,95,1.1940140745157493,7.334393775547124,2657,1.1033150614939633,0.8253308102335258
40,0.7,100,97,100,95,1.1932054772083813,7.3294268566601,2649,1.1032719925248993,0.8253006801376983
50,0.6,100,97,100,95,1.1920812077579814,7.32252087871977,2636,1.3339995654989196,0.8247297022265743
50,0.7,100,97,98,95,1.1916092030139314,7.3196215254117325,2653,1.1659052562689751,0.8251518075804067
50,0.7,100,97,100,95,1.1862864574458705,7.286925837147724,2626,1.3110869417328768,0.8247894926716712
60,0.6,100,97,100,97,1.1478601991851658,7.050887321840288,2196,1.2809806561892287,0.8242166291504145
60,0.7,100,97,100,97,1.144769332047813,7.0319012502544584,2051,1.2845495292306937,0.8245383936999897
60,0.5,100,97,100,97,1.1428429999095548,7.020068493215806,2365,1.2441119688671063,0.8234210774433265
40,0.6,100,97,100,97,1.1424480068365856,7.017642194566902,2636,0.9749859914750049,0.8227236646863861
40,0.5,100,97,100,97,1.1424480068365856,7.017642194566902,2636,0.9749859914750049,0.8227236646863861
40,0.7,100,97,100,97,1.1424480068365856,7.017642194566902,2636,0.9749859914750049,0.8227236646863861
50,0.5,100,97,100,97,1.1404669371230973,7.00547320453098,2627,1.0847065340710222,0.8226000741203784
50,0.6,100,97,100,97,1.136771827582267,6.982775491836745,2620,1.158051069550649,0.8222876574302427
50,0.7,100,97,100,97,1.1358010277965382,6.976812222175423,2612,1.1741458368845041,0.8222124356795071
