buy_threshold,sell_threshold,alloc_min,alloc_max,use_fng_filter,fng_threshold,equity,ratio,cagr,max_dd,sharpe,trades
0.4,0.9,30,95,False,,3.401707387582503,0.5537862599768486,0.16721816401055034,-0.7384474780007567,0.7089367819908732,1498
0.4,0.9,30,95,True,50.0,3.2549852174794878,0.5299003954449261,0.16073665646785074,-0.7279220451330163,0.6681030766532369,1509
0.4,0.9,25,95,False,,3.144385920802374,0.5118952104350489,0.1556799317541151,-0.7349125996833875,0.6985394320453494,1498
0.4,0.85,30,95,False,,3.1222590209081735,0.5082930272543258,0.1546496495019758,-0.7322009283699134,0.697188366728266,1453
0.35,0.9,30,95,False,,3.0806681285231425,0.5015221730570827,0.15269568988162985,-0.7344059899694891,0.6927309591965884,1669
0.4,0.85,30,95,True,50.0,3.0394376815863358,0.49480999813878823,0.15073578093560513,-0.7196332368740506,0.6578255036879467,1454
0.4,0.9,25,95,True,50.0,3.029893691111999,0.49325626932327316,0.15027879388803433,-0.7259078928807141,0.6578812704134206,1512
0.35,0.9,30,95,True,50.0,2.9847055390351525,0.4858997936236727,0.14809786175021022,-0.7241721391622327,0.6529982539135396,1670
0.4,0.9,20,95,False,,2.9000411226338594,0.4721167179002445,0.1439328321891684,-0.7313994720721222,0.6879171820273845,1498
0.4,0.85,25,95,False,,2.8586714669956694,0.46538188028427757,0.14185889532065055,-0.7281975588465501,0.6855865824464674,1453
0.4,0.8,30,95,True,50.0,2.847017418704168,0.463484641315253,0.14126992317229226,-0.7100983090738046,0.6476606445983448,1385
0.4,0.8,30,95,False,,2.8221575017894773,0.45943753236585405,0.14000648066253274,-0.7246372353285868,0.6833958753084195,1396
0.35,0.9,25,95,False,,2.8201037201520633,0.45910318378080395,0.13990166806864512,-0.730567599843344,0.6807563639648462,1669
0.4,0.9,20,95,True,50.0,2.816596988966899,0.45853230000788886,0.13972255146775403,-0.724038817563567,0.6475109404421868,1513
0.35,0.85,30,95,False,,2.8164706694978854,0.4585117356329039,0.1397160956947272,-0.7283733442447857,0.6801573653452668,1624
0.4,0.85,25,95,True,50.0,2.8063913422013598,0.4568708558244286,0.13920015715844025,-0.7169876425187474,0.646467037957425,1459
0.35,0.85,30,95,True,50.0,2.775623707182382,0.45186199069167493,0.13761515351441966,-0.7163624040795504,0.6418792201828619,1614
0.3,0.9,30,95,False,,2.761012035827726,0.44948326086292967,0.1368570463685963,-0.7275130656294322,0.6744239639414106,1833
0.35,0.9,25,95,True,50.0,2.754285097018505,0.44838813836713526,0.13650684909991306,-0.7218857442351663,0.6412619890768185,1673
0.3,0.9,30,95,True,50.0,2.7013636845582023,0.43977271448145205,0.13372544719795054,-0.7240522360375226,0.6354698730134031,1833
0.4,0.9,15,95,False,,2.6687077708164533,0.43445644406878087,0.13198529782363333,-0.7279101413497422,0.6770726095029774,1498
0.4,0.75,30,95,True,50.0,2.6592745731290552,0.4329207519378246,0.1314791640627213,-0.6977723900325831,0.6369434185730406,1282
0.4,0.9,30,100,True,50.0,2.6392552229099873,0.4296616705937166,0.1303998172423082,-0.7536123434806561,0.6650484419913577,1509
0.4,0.9,30,100,False,,2.629271016786565,0.42803627618498197,0.12985884115818735,-0.7618146386520853,0.7058413254887793,1498
0.4,0.9,15,95,True,50.0,2.613124212610458,0.4254076320141441,0.12898014552808856,-0.7223772988835815,0.6369159223152556,1515
0.4,0.85,20,95,False,,2.61039055904037,0.42496260261738367,0.1288309130654075,-0.7242213570893012,0.6737202795985111,1453
0.35,0.8,30,95,True,50.0,2.594100325625041,0.4223106086598328,0.12793877368140993,-0.7071139582530166,0.6310779973212908,1543
0.4,0.8,25,95,True,50.0,2.590257839415052,0.4216850651239572,0.12772762552669503,-0.7076602257709601,0.6343279023922277,1393
0.4,0.85,20,95,True,50.0,2.584096755513724,0.42068206186048585,0.1273884964174481,-0.714675238347658,0.6347946794135451,1459
0.4,0.75,30,95,False,,2.5838212817768387,0.42063721568381923,0.12737331681923902,-0.7183468179786596,0.6707379899343573,1288
0.35,0.9,20,95,False,,2.5750446694299174,0.4192084133874752,0.12688895204722428,-0.7267543420796506,0.6685080058658849,1669
0.4,0.8,25,95,False,,2.554950547795583,0.41593715951419424,0.12577454052236048,-0.7200394690577494,0.6703723282806364,1396
0.35,0.85,25,95,False,,2.552662702600175,0.41556470618713975,0.12564717246335744,-0.7240851420149603,0.6668780342975802,1624
0.35,0.85,25,95,True,50.0,2.540472769589021,0.4135802270293328,0.12496685291593379,-0.7134470364379819,0.6289491692983323,1617
0.35,0.9,20,95,True,50.0,2.5377342660130595,0.4131344080683014,0.12481362492172932,-0.7197854791189626,0.6293364036059829,1675
0.35,0.8,30,95,False,,2.5374272512538734,0.41308442712171317,0.1247964374635755,-0.7212270344530836,0.6655526227878205,1567
0.3,0.85,30,95,False,,2.513095544959893,0.40912330904418964,0.12342847458086026,-0.7200698589387922,0.6608886603049455,1788
0.3,0.9,25,95,False,,2.500499952798344,0.407072789972267,0.12271578097256919,-0.7249760965851524,0.6606198067897088,1833
0.3,0.85,30,95,True,50.0,2.4998182038069365,0.4069618035818524,0.12267711630907319,-0.7170391140475825,0.6233314317204957,1778
0.3,0.9,25,95,True,50.0,2.469019710622183,0.4019479148458703,0.12092072957486266,-0.7217781948444798,0.6219769701783814,1835
0.4,0.9,30,95,True,60.0,2.467389117734774,0.4016824599334462,0.12082720704653616,-0.7292138663197516,0.6397741848234088,1607
0.4,0.9,25,100,True,50.0,2.460245759340396,0.4005195457617754,0.12041686275698948,-0.7517554254619974,0.6553050159357064,1512
0.4,0.7,30,95,True,50.0,2.4564090706783244,0.3998949460467558,0.1201960374823885,-0.6878032394268169,0.6246283312500671,1152
0.4,0.85,30,100,True,50.0,2.455610848784522,0.39976499826852707,0.12015005698592596,-0.7454488507583269,0.6544433400830669,1455
0.4,0.9,10,95,False,,2.4503351842116126,0.398906138225659,0.11984583064344467,-0.7244466625927035,0.6660087805674554,1498
0.4,0.65,30,95,True,50.0,2.435330078177429,0.39646335858459997,0.11897740721404237,-0.6868417257894557,0.6210872936282845,1011
0.4,0.9,25,100,False,,2.4338210046499675,0.39621768660591844,0.11888981076520588,-0.7585525374915971,0.6959048615163083,1498
0.4,0.9,10,95,True,50.0,2.419340307547427,0.3938602789348335,0.11804683572286945,-0.7209219820579402,0.6260884473557496,1515
0.35,0.9,30,100,True,50.0,2.416773086921275,0.393442344248775,0.11789692846627675,-0.7499367604740473,0.6495053229716908,1671
0.35,0.75,30,95,True,50.0,2.4124112401084483,0.3927322505934874,0.11764190861760104,-0.6958792285252742,0.6194043801198716,1441
0.4,0.85,30,100,False,,2.4023164267107386,0.3910888497010153,0.1170501563880526,-0.7556205834359312,0.6937358189897751,1453
0.25,0.9,30,95,False,,2.3958195945393,0.3900311877742277,0.11666816569483118,-0.7186444354092487,0.6482511541732716,2102
0.4,0.75,25,95,True,50.0,2.392205847783654,0.38944288223459844,0.11645529832063861,-0.6942377058658918,0.6220241201441508,1284
0.25,0.9,30,95,True,50.0,2.3822238680977517,0.3878178502822325,0.11586584761113516,-0.7050685297678029,0.6103507694822017,2095
0.35,0.9,30,100,False,,2.3779445356861486,0.387121189687594,0.11561248558878034,-0.7576848161734805,0.6891674713420467,1669
0.4,0.85,15,95,False,,2.3773414184278834,0.38702300427282216,0.11557674542426821,-0.7202751409895864,0.6615935099583513,1453
0.4,0.85,15,95,True,50.0,2.3741548272702264,0.3865042381950237,0.11538777940841749,-0.712494092365076,0.6228775891024846,1463
0.4,0.8,20,95,True,50.0,2.350312352924269,0.38262276539555845,0.1139668375977676,-0.7054350504831841,0.6206920874707719,1403
0.4,0.7,30,95,False,,2.34984305202766,0.38254636482410254,0.1139387424726368,-0.7121884065841817,0.6570598984300121,1164
0.35,0.9,15,95,False,,2.3453248200058208,0.38181081219479185,0.1136680033093127,-0.7229687474835125,0.6559887877369774,1669
0.35,0.8,25,95,True,50.0,2.3390016612435325,0.38078142370153406,0.11328834412059918,-0.7043326623395871,0.6160783174116726,1552
0.35,0.9,15,95,True,50.0,2.333687360176512,0.37991627377034387,0.11296856525159038,-0.7178313365823596,0.6171764836883978,1677
0.3,0.8,30,95,True,50.0,2.32743291135316,0.37889807101876555,0.11259139857732414,-0.708691215927759,0.6116186505144869,1702
0.35,0.85,20,95,True,50.0,2.3184898421956186,0.37744217012630554,0.11205055674235309,-0.71083380294425,0.6156660552667093,1621
0.4,0.75,25,95,False,,2.3142169392178915,0.3767465562213832,0.11179150453246178,-0.7132819340540846,0.6563409375377213,1288
0.35,0.75,30,95,False,,2.309575094972398,0.3759908799473185,0.11150961060366305,-0.7153472142716093,0.6517529758786669,1459
0.4,0.85,30,95,True,60.0,2.3087404756034897,0.37585500678535894,0.1114588726221557,-0.721308894958181,0.6295167243134551,1557
0.35,0.85,20,95,False,,2.3066912065709277,0.37552139283685426,0.11133422593514664,-0.7198282071941771,0.653280078432998,1624
0.4,0.8,20,95,False,,2.3057457338733647,0.3753674731343528,0.1112766849861524,-0.7154715695227298,0.6570380609610686,1396
0.4,0.9,25,95,True,60.0,2.3003589525626875,0.3744905236688454,0.1109484545776187,-0.7271355978462072,0.6296142816488909,1609
0.4,0.9,20,100,True,50.0,2.2900307682652064,0.37280913079674466,0.11031724922275754,-0.75000946088366,0.645417588593612,1515
0.4,0.8,30,100,True,50.0,2.28798575666453,0.37247620994350433,0.11019197374967038,-0.7362844716183757,0.6437014550347905,1386
0.35,0.9,30,95,True,60.0,2.2807263608215447,0.37129440527439805,0.10974647857915265,-0.725388207931327,0.6250291961587305,1731
0.35,0.8,25,95,False,,2.273156139645726,0.3700619993104231,0.10928058710563393,-0.7163829530580119,0.6507482763903225,1567
0.4,0.85,25,100,True,50.0,2.2697503143609086,0.36950754267094305,0.10907054132497396,-0.7430502489488799,0.6435739613026058,1459
0.3,0.85,25,95,True,50.0,2.2660210689037603,0.36890043434005354,0.10884023333690429,-0.7141762417329371,0.6085721952091494,1780
0.3,0.9,20,95,False,,2.2580908953427086,0.36760942936608865,0.10834938463845223,-0.722647524143256,0.6464773238820153,1833
0.3,0.8,30,95,False,,2.255046336154744,0.3671137856043308,0.10816053739571596,-0.7138364853289084,0.6452932225900361,1731
0.3,0.85,25,95,False,,2.2522878618581212,0.3666647154786799,0.10798924291663559,-0.7170994792139995,0.64565618090445,1788
0.3,0.9,20,95,True,50.0,2.2520564440967195,0.36662704146325853,0.10797486410971913,-0.7197168048248646,0.6082052892891204,1839
0.4,0.65,30,95,False,,2.2483411622245066,0.3660222063559582,0.10774384355260413,-0.7048632505396863,0.6490225456553761,1036
0.4,0.9,20,100,False,,2.2478717663601278,0.3659457903240762,0.10771463224307731,-0.755309152057789,0.6857659622870323,1498
0.4,0.9,5,95,False,,2.2447944419953707,0.3654448125042568,0.10752299296327084,-0.7223511274305446,0.654729255684211,1498
0.35,0.85,30,100,True,50.0,2.2394447029048323,0.36457389338475354,0.10718929283348144,-0.7422118681911783,0.6380491962280284,1615
0.4,0.9,5,95,True,50.0,2.2366241519119208,0.36411471738650625,0.10701307511003155,-0.719501422999921,0.6151060202192293,1516
0.35,0.9,25,100,True,50.0,2.233801293208871,0.3636551657009875,0.10683651870614641,-0.7478336537532035,0.6383037085049355,1674
0.35,0.7,30,95,True,50.0,2.2190455422327013,0.3612529802055296,0.10591043147289159,-0.6875677870648212,0.606075791404348,1314
0.4,0.85,25,100,False,,2.202480870102138,0.35855630856927617,0.10486438218087768,-0.7519257871098026,0.6826446590169643,1453
0.25,0.85,30,95,True,50.0,2.190180281750675,0.3565538151027489,0.10408315072635643,-0.6967077292625323,0.5965693248602622,2040
0.4,0.7,25,95,True,50.0,2.1839191136437486,0.35553451847492074,0.10368401987219156,-0.6824863403450974,0.6080291645592563,1161
0.3,0.9,30,100,True,50.0,2.1839082922974202,0.3555327567969666,0.10368332917854128,-0.7497599806268299,0.631463427752045,1834
0.35,0.9,25,100,False,,2.18055387660944,0.35498666946298973,0.10346908275702038,-0.7541317073365359,0.677719837909392,1669
0.4,0.85,10,95,True,50.0,2.174856284287119,0.35405912103405407,0.10310451689872013,-0.7105277498670728,0.6106295847671476,1465
0.25,0.85,30,95,False,,2.165919382265362,0.35260422413008335,0.10253099629294371,-0.7121178682667483,0.6330740486841097,2057
0.35,0.85,30,100,False,,2.1639363887337715,0.35228139960513255,0.10240345858640731,-0.7516851014376236,0.6762072574706524,1624
0.4,0.85,10,95,False,,2.159341116526436,0.3515333050986605,0.10210751728628042,-0.7266065244973696,0.6492110278489476,1453
0.4,0.8,30,100,False,,2.159241316103762,0.3515170579331875,0.10210108391106876,-0.748112306122505,0.6795217710002229,1396
0.35,0.65,30,95,True,50.0,2.1566630719503053,0.3510973286548075,0.101934793977845,-0.6868417257894557,0.5995567928416388,1170
0.3,0.75,30,95,True,50.0,2.1542302403376485,0.3507012720378143,0.10177772342180358,-0.6987951534774248,0.5988539390328982,1602
0.4,0.65,25,95,True,50.0,2.154030979914406,0.350668833126416,0.10176485173426308,-0.6812653867985898,0.6036418021503875,1020
