fng_w,fng_t,fng_a,rainbow_w,rainbow_t,rainbow_a,ratio,equity,trades,avg_alloc
7,8,94,14,0.02,96,1.6738087269031625,10.281597654561862,1661,95.46159169550174
7,8,96,14,0.02,94,1.6738087269031625,10.281597654561862,1661,95.46159169550174
7,8,94,10,0.02,94,1.6496995261983154,10.133503611654737,1702,94.4069204152249
7,8,94,14,0.02,95,1.6448318082591948,10.103602992461212,1661,94.98304498269896
7,8,95,14,0.02,94,1.6448318082591948,10.103602992461212,1661,94.98304498269896
7,8,95,10,0.02,94,1.6314792264504525,10.021582943455305,1702,94.8712802768166
7,8,94,10,0.02,95,1.6314792264504525,10.021582943455305,1702,94.8712802768166
7,8,94,7,0.02,96,1.6178463327042192,9.937841040265747,1676,95.39792387543253
7,8,96,7,0.02,94,1.6178463327042192,9.937841040265747,1676,95.39792387543253
7,8,94,14,0.02,94,1.61546498793851,9.923213306305296,1661,94.50449826989617
7,8,94,10,0.01,96,1.6147780602195898,9.91899375940595,1585,94.65743944636678
7,8,96,10,0.01,94,1.6147780602195898,9.91899375940595,1585,94.65743944636678
7,8,96,10,0.02,94,1.6125973330491417,9.905598346297786,1702,95.3356401384083
7,8,94,10,0.02,96,1.6125973330491417,9.905598346297786,1702,95.3356401384083
7,8,94,10,0.01,95,1.6088090505126516,9.882328305811106,1585,94.20484429065742
7,8,95,10,0.01,94,1.6088090505126516,9.882328305811106,1585,94.20484429065742
7,8,96,7,0.01,94,1.6083652616685895,9.879602272504618,1579,94.72525951557094
7,8,94,7,0.01,96,1.6083652616685895,9.879602272504618,1579,94.72525951557094
7,8,94,10,0.015,94,1.6060927241849257,9.865642902066174,1659,94.08650519031141
7,8,94,10,0.01,94,1.6020283131435848,9.84067670469956,1585,93.75224913494809
7,8,94,10,0.015,95,1.5968670918525285,9.808973201265818,1659,94.5484429065744
7,8,95,10,0.015,94,1.5968670918525285,9.808973201265818,1659,94.5484429065744
7,8,96,14,0.015,94,1.5925873668310613,9.782684408504952,1654,95.14048442906575
7,8,94,14,0.015,96,1.5925873668310613,9.782684408504952,1654,95.14048442906575
7,8,94,10,0.015,96,1.5868594485533747,9.747499891789984,1659,95.01038062283737
7,8,96,10,0.015,94,1.5868594485533747,9.747499891789984,1659,95.01038062283737
7,8,96,14,0.01,94,1.584768824037247,9.734657946485184,1618,94.78200692041521
7,8,94,14,0.01,96,1.584768824037247,9.734657946485184,1618,94.78200692041521
7,8,94,14,0.005,96,1.5832311513713735,9.725212583092809,1494,94.40276816608996
7,8,96,14,0.005,94,1.5832311513713735,9.725212583092809,1494,94.40276816608996
7,8,96,7,0.015,94,1.5746956798306377,9.67278228878064,1650,95.06159169550173
7,8,94,7,0.015,96,1.5746956798306377,9.67278228878064,1650,95.06159169550173
7,8,94,7,0.02,95,1.5743799590307959,9.670842930846263,1676,94.90968858131488
7,8,95,7,0.02,94,1.5743799590307959,9.670842930846263,1676,94.90968858131488
7,8,96,7,0.005,94,1.5695165761830459,9.640968940540825,1477,94.36262975778547
7,8,94,7,0.005,96,1.5695165761830459,9.640968940540825,1477,94.36262975778547
7,8,94,14,0.015,95,1.5636579256209193,9.604981382996,1654,94.67162629757786
7,8,95,14,0.015,94,1.5636579256209193,9.604981382996,1654,94.67162629757786
7,8,95,14,0.02,96,1.5607433229620329,9.587078039931807,1661,95.78961937716264
7,8,96,14,0.02,95,1.5607433229620329,9.587078039931807,1661,95.78961937716264
7,8,94,7,0.01,95,1.5538913381689534,9.544988791832376,1579,94.2584775086505
7,8,95,7,0.01,94,1.5538913381689534,9.544988791832376,1579,94.2584775086505
7,8,95,14,0.01,94,1.5537865796686507,9.544345298502645,1618,94.33010380622837
7,8,94,14,0.01,95,1.5537865796686507,9.544345298502645,1618,94.33010380622837
7,8,95,10,0.02,95,1.550876234816579,9.52646810959565,1702,95.22214532871972
7,10,96,14,0.02,94,1.5451244263706416,9.491136844274399,1653,95.79792387543255
7,10,94,14,0.02,96,1.5451244263706416,9.491136844274399,1653,95.79792387543255
7,8,94,10,0.005,96,1.5434406956747513,9.48079429957647,1481,94.33771626297577
7,8,96,10,0.005,94,1.5434406956747513,9.48079429957647,1481,94.33771626297577
7,8,94,14,0.015,94,1.5344039961055194,9.425285143958732,1654,94.20276816608995
7,8,95,14,0.02,95,1.5337244274807094,9.421110801295406,1661,95.31107266435986
7,8,95,14,0.005,94,1.5331079860481596,9.4173242259925,1494,93.95570934256055
7,8,94,14,0.005,95,1.5331079860481596,9.4173242259925,1494,93.95570934256055
7,8,95,10,0.02,96,1.532927058703543,9.416212855181634,1702,95.68650519031142
7,8,96,10,0.02,95,1.532927058703543,9.416212855181634,1702,95.68650519031142
7,8,94,7,0.02,94,1.5312488435668234,9.405904190555734,1676,94.42145328719722
7,8,94,7,0.015,95,1.52899419815855,9.392054724622753,1650,94.5916955017301
7,8,95,7,0.015,94,1.52899419815855,9.392054724622753,1650,94.5916955017301
7,10,95,14,0.02,94,1.5276346598602708,9.383703575800189,1653,95.30865051903115
7,10,94,14,0.02,95,1.5276346598602708,9.383703575800189,1653,95.30865051903115
7,10,94,10,0.02,94,1.526362825116042,9.37589115798143,1668,94.68996539792387
7,10,94,10,0.01,94,1.525903771991208,9.373071361755164,1563,93.99377162629756
7,8,95,10,0.01,96,1.5234440489931746,9.357962178847364,1585,95.09896193771627
7,8,96,10,0.01,95,1.5234440489931746,9.357962178847364,1585,95.09896193771627
7,8,94,14,0.01,94,1.522595510150417,9.352749913649271,1618,93.87820069204153
7,10,94,10,0.015,94,1.5179586671693657,9.324267475272483,1619,94.35155709342558
7,8,95,10,0.01,95,1.5178131278616118,9.323373480288948,1585,94.64636678200691
7,8,95,10,0.015,95,1.517156957134489,9.319342862393043,1659,94.94117647058823
7,8,94,10,0.005,95,1.5148844166626079,9.305383473599068,1481,93.88892733564013
7,8,95,10,0.005,94,1.5148844166626079,9.305383473599068,1481,93.88892733564013
7,8,95,7,0.005,94,1.514576195535195,9.303490183422145,1477,93.91730103806228
7,8,94,7,0.005,95,1.514576195535195,9.303490183422145,1477,93.91730103806228
7,10,94,14,0.02,94,1.5094633421401271,9.272083786364991,1653,94.81937716262975
7,10,94,10,0.02,95,1.5092867461921136,9.270999021746599,1668,95.18096885813148
7,10,95,10,0.02,94,1.5092867461921136,9.270999021746599,1668,95.18096885813148
7,10,95,10,0.01,94,1.5091486126611733,9.270150517753935,1563,94.49377162629757
7,10,94,10,0.01,95,1.5091486126611733,9.270150517753935,1563,94.49377162629757
7,8,96,7,0.02,95,1.5076585794609991,9.26099778625607,1676,95.72906574394466
7,8,95,7,0.02,96,1.5076585794609991,9.26099778625607,1676,95.72906574394466
7,8,96,10,0.015,95,1.5076486366399584,9.260936711126128,1659,95.40311418685121
7,8,95,10,0.015,96,1.5076486366399584,9.260936711126128,1659,95.40311418685121
5,12,94,14,0.02,94,1.5018119476502974,9.225084055525786,1684,95.11972318339099
7,8,94,7,0.01,94,1.5004566378128041,9.216758880598448,1579,93.79169550173009
7,10,96,7,0.02,94,1.4954883958974514,9.186240779214966,1649,95.73425605536333
7,10,94,7,0.02,96,1.4954883958974514,9.186240779214966,1649,95.73425605536333
7,15,94,14,0.02,96,1.4954505117704222,9.186008070814449,1552,96.50934256055363
7,15,96,14,0.02,94,1.4954505117704222,9.186008070814449,1552,96.50934256055363
7,15,94,10,0.01,94,1.4953091876991027,9.185139968493761,1372,94.46435986159169
7,8,96,7,0.01,95,1.4948998574468526,9.182625601772026,1579,95.15121107266435
7,8,95,7,0.01,96,1.4948998574468526,9.182625601772026,1579,95.15121107266435
7,12,94,14,0.02,94,1.494793592925011,9.181972857500252,1632,95.09896193771625
7,15,94,14,0.02,95,1.4944426139753142,9.179816921587145,1552,95.98615916955018
7,15,95,14,0.02,94,1.4944426139753142,9.179816921587145,1552,95.98615916955018
7,8,96,14,0.015,95,1.4938266004927452,9.176032975025176,1654,95.51349480968858
7,8,95,14,0.015,96,1.4938266004927452,9.176032975025176,1654,95.51349480968858
7,10,94,10,0.015,95,1.4926747050905662,9.168957300920372,1619,94.84913494809688
7,10,95,10,0.015,94,1.4926747050905662,9.168957300920372,1619,94.84913494809688
7,15,94,14,0.02,94,1.4924277527325986,9.167440362489081,1552,95.46297577854669
7,10,96,10,0.01,94,1.4917193062775926,9.163088633827916,1563,94.99377162629756
7,10,94,10,0.01,96,1.4917193062775926,9.163088633827916,1563,94.99377162629756
7,10,94,10,0.02,96,1.4915515886062047,9.162058405230674,1668,95.6719723183391
7,10,96,10,0.02,94,1.4915515886062047,9.162058405230674,1668,95.6719723183391
7,10,95,7,0.02,94,1.4900417174019323,9.152783816095713,1649,95.22076124567475
7,10,94,7,0.02,95,1.4900417174019323,9.152783816095713,1649,95.22076124567475
7,8,95,14,0.01,96,1.486589177459146,9.131576120134115,1618,95.2083044982699
7,8,96,14,0.01,95,1.486589177459146,9.131576120134115,1618,95.2083044982699
7,8,94,10,0.005,94,1.486089059393771,9.128504076927914,1481,93.44013840830449
7,10,94,7,0.01,96,1.485621382765847,9.125631309661577,1569,95.06159169550173
7,10,96,7,0.01,94,1.485621382765847,9.125631309661577,1569,95.06159169550173
7,12,95,14,0.02,94,1.4853523527003443,9.12397875591035,1632,95.60899653979237
7,12,94,14,0.02,95,1.4853523527003443,9.12397875591035,1632,95.60899653979237
7,8,94,7,0.015,94,1.4838445665760658,9.114716974662713,1650,94.12179930795847
7,8,94,14,0.005,94,1.4837930028627966,9.114400237544016,1494,93.50865051903114
7,10,94,7,0.02,94,1.483739405010452,9.114071005449514,1649,94.70726643598614
7,12,94,10,0.01,94,1.4790413587991438,9.085212617910466,1518,94.198615916955
7,8,96,14,0.005,95,1.4763463522925078,9.068658174064948,1494,94.87889273356402
7,8,95,14,0.005,96,1.4763463522925078,9.068658174064948,1494,94.87889273356402
7,12,94,14,0.02,96,1.4750333641793758,9.060592966083016,1632,96.11903114186852
7,12,96,14,0.02,94,1.4750333641793758,9.060592966083016,1632,96.11903114186852
7,15,94,10,0.01,95,1.4732273949810353,9.04949955476581,1372,95.08477508650518
7,15,95,10,0.01,94,1.4732273949810353,9.04949955476581,1372,95.08477508650518
7,8,96,7,0.015,95,1.4709713478902422,9.035641478807396,1650,95.4439446366782
7,8,95,7,0.015,96,1.4709713478902422,9.035641478807396,1650,95.4439446366782
7,10,96,14,0.015,94,1.4702091016070047,9.030959277387383,1643,95.47681660899653
7,10,94,14,0.015,96,1.4702091016070047,9.030959277387383,1643,95.47681660899653
7,10,95,7,0.01,94,1.4688772258351896,9.022778049394269,1569,94.54671280276816
7,10,94,7,0.01,95,1.4688772258351896,9.022778049394269,1569,94.54671280276816
7,8,95,7,0.02,95,1.4671536941453625,9.01219102168025,1676,95.24083044982697
7,10,94,10,0.015,96,1.4669704262355676,9.011065273629582,1619,95.34671280276817
7,10,96,10,0.015,94,1.4669704262355676,9.011065273629582,1619,95.34671280276817
7,8,95,14,0.015,95,1.4666918333490282,9.009353978950099,1654,95.04463667820069
7,15,94,10,0.015,94,1.4632718342159705,8.988346169336088,1472,94.89550173010379
7,15,94,10,0.02,94,1.463244143683489,8.988176076475872,1562,95.30865051903112
7,10,96,14,0.01,94,1.463221659334335,8.98803796330451,1601,95.11833910034603
7,10,94,14,0.01,96,1.463221659334335,8.98803796330451,1601,95.11833910034603
5,10,94,14,0.02,94,1.4629579563824209,8.986418132072707,1754,94.8553633217993
7,8,96,7,0.005,95,1.4626344277995593,8.984430813769684,1477,94.84463667820069
7,8,95,7,0.005,96,1.4626344277995593,8.984430813769684,1477,94.84463667820069
7,10,96,14,0.005,94,1.4615037996002205,8.977485776349543,1498,94.73910034602076
7,10,94,14,0.005,96,1.4615037996002205,8.977485776349543,1498,94.73910034602076
7,8,94,7,0.005,94,1.4608051504388708,8.973194228896576,1477,93.4719723183391
5,8,94,14,0.02,94,1.4607311148295854,8.972739455101609,1734,94.55224913494807
7,10,96,14,0.02,95,1.4594474677756262,8.96485447856448,1653,96.07854671280278
7,10,95,14,0.02,96,1.4594474677756262,8.96485447856448,1653,96.07854671280278
10,10,94,14,0.02,94,1.4591634841212766,8.963110070360864,1704,94.80276816608996
7,8,95,14,0.01,95,1.4575271035668325,8.953058380343885,1618,94.75640138408305
7,8,96,10,0.02,96,1.4560869203702727,8.944211859270187,1702,96.03737024221452
7,10,94,7,0.015,96,1.4554851321664934,8.94051529341707,1626,95.39792387543253
7,10,96,7,0.015,94,1.4554851321664934,8.94051529341707,1626,95.39792387543253
7,15,95,10,0.02,94,1.4545914816378835,8.935025923555823,1562,95.84602076124567
7,15,94,10,0.02,95,1.4545914816378835,8.935025923555823,1562,95.84602076124567
7,8,96,14,0.02,96,1.4542466049786624,8.932907471791552,1661,96.11764705882354
7,10,94,14,0.015,95,1.4538431876771967,8.930429426173859,1643,94.98477508650517
7,10,95,14,0.015,94,1.4538431876771967,8.930429426173859,1643,94.98477508650517
7,12,94,10,0.02,94,1.4536925673269412,8.929504220196003,1644,94.9598615916955
7,8,96,10,0.005,95,1.4536337033269873,8.929142640073893,1481,94.82110726643599
7,8,95,10,0.005,96,1.4536337033269873,8.929142640073893,1481,94.82110726643599
7,12,95,10,0.01,94,1.4526889546411228,8.92333939283506,1518,94.75674740484426
7,12,94,10,0.01,95,1.4526889546411228,8.92333939283506,1518,94.75674740484426
7,10,94,7,0.01,94,1.451447183167347,8.915711642742075,1569,94.03183391003459
7,15,96,10,0.01,94,1.450379273459491,8.909151862182267,1372,95.70519031141869
7,15,94,10,0.01,96,1.450379273459491,8.909151862182267,1372,95.70519031141869
5,12,94,14,0.015,94,1.450191331413576,8.907997402615045,1667,94.76124567474048
5,12,94,14,0.02,95,1.4500006089909632,8.906825864205972,1684,95.62768166089965
5,12,95,14,0.02,94,1.4500006089909632,8.906825864205972,1684,95.62768166089965
7,10,96,7,0.005,94,1.4493927405804206,8.903091949856224,1476,94.69896193771626
7,10,94,7,0.005,96,1.4493927405804206,8.903091949856224,1476,94.69896193771626
7,10,95,10,0.01,95,1.4487940440206217,8.899414374846558,1563,94.86955017301038
7,10,95,10,0.02,95,1.4486975837966498,8.898821854807315,1668,95.47647058823527
7,12,94,10,0.015,94,1.4479528449650616,8.894247195289148,1593,94.59377162629755
5,12,94,7,0.02,94,1.4478782727453408,8.893789125291631,1679,95.0560553633218
7,15,94,10,0.02,96,1.4450023072127138,8.876123116028095,1562,96.3833910034602
7,15,96,10,0.02,94,1.4450023072127138,8.876123116028095,1562,96.3833910034602
7,8,95,7,0.01,95,1.4442699544448148,8.87162453958999,1579,94.68442906574394
7,15,95,10,0.015,94,1.444094529888734,8.87054697040579,1472,95.47681660899653
7,15,94,10,0.015,95,1.444094529888734,8.87054697040579,1472,95.47681660899653
7,15,94,7,0.02,96,1.4437867703483873,8.868656515590173,1584,96.44567474048444
7,15,96,7,0.02,94,1.4437867703483873,8.868656515590173,1584,96.44567474048444
7,10,95,14,0.02,95,1.4429279583923111,8.86338114639692,1653,95.58927335640138
7,10,94,7,0.015,95,1.4416671619215515,8.855636532673568,1626,94.89100346020759
7,10,95,7,0.015,94,1.4416671619215515,8.855636532673568,1626,94.89100346020759
7,10,95,14,0.01,94,1.4415570435573968,8.854960115651467,1601,94.62595155709342
7,10,94,14,0.01,95,1.4415570435573968,8.854960115651467,1601,94.62595155709342
7,10,95,10,0.015,95,1.4398957329442428,8.844755289359693,1619,95.18200692041522
7,12,94,10,0.02,95,1.4392500460671203,8.840789069937664,1644,95.4764705882353
7,12,95,10,0.02,94,1.4392500460671203,8.840789069937664,1644,95.4764705882353
7,15,96,7,0.01,94,1.4390899581896093,8.839805708386558,1431,95.77301038062285
7,15,94,7,0.01,96,1.4390899581896093,8.839805708386558,1431,95.77301038062285
5,10,94,7,0.02,94,1.438276433086751,8.834808519845817,1722,94.78477508650518
7,10,94,14,0.015,94,1.43680949342534,8.825797643549304,1643,94.49273356401383
7,8,96,10,0.01,96,1.436061493742882,8.821202953811365,1585,95.54048442906574
7,15,95,7,0.01,94,1.435629803303841,8.818551236602463,1431,95.16262975778547
7,15,94,7,0.01,95,1.435629803303841,8.818551236602463,1431,95.16262975778547
5,8,94,7,0.02,94,1.4355171217355565,8.817859074750535,1730,94.49134948096885
7,10,94,14,0.005,95,1.4338050940469307,8.807342711927832,1498,94.23425605536332
7,10,95,14,0.005,94,1.4338050940469307,8.807342711927832,1498,94.23425605536332
7,10,96,10,0.01,95,1.432061644284004,8.796633334741994,1563,95.36955017301038
7,10,95,10,0.01,96,1.432061644284004,8.796633334741994,1563,95.36955017301038
7,10,95,10,0.02,96,1.4316743001730168,8.79425402088192,1668,95.96747404844291
7,10,96,10,0.02,95,1.4316743001730168,8.79425402088192,1668,95.96747404844291
7,15,94,7,0.02,95,1.4316555386942196,8.794138775947838,1584,95.90865051903114
7,15,95,7,0.02,94,1.4316555386942196,8.794138775947838,1584,95.90865051903114
7,12,94,14,0.015,94,1.4316167123657415,8.793900279946833,1609,94.74602076124567
7,10,94,7,0.005,95,1.4315369960861528,8.793410611862257,1476,94.19100346020761
7,10,95,7,0.005,94,1.4315369960861528,8.793410611862257,1476,94.19100346020761
7,8,96,10,0.015,96,1.431248095465903,8.79163600052715,1659,95.79584775086505
7,15,94,7,0.01,94,1.4311120235372363,8.790800160206722,1431,94.55224913494807
5,8,94,14,0.015,94,1.4299498095518128,8.783661102801556,1703,94.23944636678199
7,8,95,14,0.005,95,1.4296076946972158,8.781559615797647,1494,94.4318339100346
7,8,95,7,0.015,95,1.428281206814707,8.773411483647063,1650,94.97404844290658
7,10,94,7,0.015,94,1.427153410874605,8.76648384376432,1626,94.38408304498269
7,8,95,10,0.005,95,1.4267397979142376,8.763943169925753,1481,94.37231833910033
7,12,94,10,0.01,96,1.42587677647488,8.758641943409177,1518,95.31487889273357
7,12,96,10,0.01,94,1.42587677647488,8.758641943409177,1518,95.31487889273357
7,12,96,7,0.02,94,1.425333940779073,8.755307501350705,1650,96.0553633217993
7,12,94,7,0.02,96,1.425333940779073,8.755307501350705,1650,96.0553633217993
7,15,95,14,0.02,96,1.4253256817322872,8.75525676903303,1552,96.6840830449827
7,15,96,14,0.02,95,1.4253256817322872,8.75525676903303,1552,96.6840830449827
7,10,94,10,0.005,96,1.4251270094059159,8.754036397259354,1477,94.67404844290657
7,10,96,10,0.005,94,1.4251270094059159,8.754036397259354,1477,94.67404844290657
5,10,94,14,0.015,94,1.4247474451902788,8.751704872464122,1728,94.5190311418685
7,12,94,10,0.015,95,1.4247306089861766,8.75160145379159,1593,95.13079584775087
7,12,95,10,0.015,94,1.4247306089861766,8.75160145379159,1593,95.13079584775087
7,15,95,14,0.02,95,1.4243654435482498,8.749358375445917,1552,96.16089965397923
5,15,94,14,0.02,94,1.4243164905366636,8.749057674917225,1611,95.50588235294117
7,15,96,10,0.015,94,1.4241469265345164,8.74801610498229,1472,96.05813148788928
7,15,94,10,0.015,96,1.4241469265345164,8.74801610498229,1472,96.05813148788928
7,12,96,10,0.02,94,1.4240722366929153,8.747557312476381,1644,95.99307958477507
7,12,94,10,0.02,96,1.4240722366929153,8.747557312476381,1644,95.99307958477507
7,12,95,14,0.02,95,1.4239091809576288,8.746555720455419,1632,95.83910034602074
7,10,96,7,0.02,95,1.423877628676684,8.746361906280272,1649,96.01072664359862
7,10,95,7,0.02,96,1.423877628676684,8.746361906280272,1649,96.01072664359862
5,12,94,7,0.01,94,1.4238494799430759,8.746188998857344,1576,94.27958477508649
7,15,94,14,0.015,96,1.4237477433287726,8.74556406787318,1533,96.18823529411765
7,15,96,14,0.015,94,1.4237477433287726,8.74556406787318,1533,96.18823529411765
5,8,95,14,0.02,94,1.4216693938431968,8.732797523612302,1734,95.02837370242213
5,8,94,14,0.02,95,1.4216693938431968,8.732797523612302,1734,95.02837370242213
7,15,95,10,0.01,95,1.421480282219754,8.731635879756114,1372,95.31141868512111
7,10,94,10,0.005,95,1.4200958514429871,8.723131825500378,1477,94.16332179930795
7,10,95,10,0.005,94,1.4200958514429871,8.723131825500378,1477,94.16332179930795
7,10,94,14,0.01,94,1.4193854612866554,8.71876815738958,1601,94.13356401384083
5,12,95,14,0.02,95,1.419372126546195,8.71868624693348,1684,95.85674740484427
